$Ateles	x10	x22	x36	x42	x43	x44	x54	x57
Ocotea.veraguensis	0	0	1	0	0	0	0	0
Otoba.novogranatensis	0	0	0	0	0	0	1	0
Oxandra.venezuelana	0	0	0	0	0	0	0	1
Pachira.fendleri	0	1	0	0	1	0	0	0
Passiflora.platyloba	0	0	1	0	0	0	0	0
Passiflora.vitifolia	0	0	1	0	0	0	0	0
Paullinia.cururu	0	0	0	0	0	0	1	0
Paullinia.sp1	0	0	0	0	0	0	0	1
Perebea.hispidula	0	0	0	1	0	0	0	1
Philodendron.sp	0	0	0	1	0	0	1	1
Phoradendron.quadrangulare	0	0	1	0	0	0	0	0
Piper.reticulatum	0	0	0	0	0	0	1	0
Pleuranthodendron	0	0	0	0	0	0	0	1
Pochota.fendleri	0	0	1	0	0	0	0	0
Polypodiopsida	0	0	0	1	0	0	0	0
Posoqueria.latifolia	0	0	0	1	0	1	1	0
Poulsenia.armata	0	0	0	1	0	0	1	0
Pourouma.bicolor	0	0	0	1	0	1	0	1
Pouteria.chiricana	0	0	0	0	0	0	1	0
Pouteria.foveolata	0	0	0	0	0	0	0	1
Pouteria.glomerata	0	0	0	0	0	0	1	0
Pouteria.sp1	0	0	0	0	0	0	0	1
Pouteria.sp2	0	0	0	0	0	0	0	1
Pouteria.subrotata	0	0	0	0	0	0	1	0
Pouteria.torta	0	0	0	1	0	1	1	1
Prockia.crucis	0	0	1	0	0	0	0	0
Protium.glabrum	0	0	0	0	0	0	0	1
Protium.picramnioides	0	0	0	0	0	0	0	1
Protium.sp1	0	0	0	0	0	0	0	1
Pseudobombax.septenatum	0	1	1	0	0	0	0	0
Pseudolmedia.glabrata	0	0	0	1	0	1	0	0
Pseudolmedia.spuria	0	0	0	0	0	0	0	1
Psidium.guajava	0	0	0	0	0	0	1	0
Pterocarpus.violaceus	0	0	0	0	0	0	1	0
Quadrella.isthmensis	0	0	0	0	0	0	0	1
Quararibea.asterolepis	0	0	0	0	0	0	1	0
Quararibea.sp1	0	0	0	0	0	0	0	1
Quercus.oleoides	0	0	1	0	0	0	0	0
Rhodostemonodaphne.kunthiana	0	0	0	0	0	0	1	0
Rubiaceae.sp1.O	0	0	0	0	0	0	0	1
Rubiaceae.sp1.RC	0	0	0	1	0	0	0	0
Samanea.saman	1	0	1	0	0	0	0	0
Sapium.glandulosum	0	1	1	0	0	0	0	0
Sapium.laurifolium	0	0	0	0	0	0	1	0
Sapotaceae.Msp.2	0	0	0	1	0	0	0	0
Sapotaceae.Msp3	0	0	0	1	0	0	0	0
Sapranthus.palanga	0	0	1	0	0	0	0	0
Sarcopera.sessiliflora	0	0	0	1	0	0	0	0
Schnella.guianensis	0	0	0	0	0	0	0	1
Sideroxylon.capiri	1	1	1	0	1	0	0	0
Simarouba.amara	0	0	1	0	0	0	0	1
Simarouba.glauca	0	1	0	0	0	0	0	0
Sloanea.picapica	0	0	0	0	0	0	1	1
Sloanea.terniflora	1	0	1	0	0	0	0	0
Smilax.sp1	0	0	0	0	0	0	0	1
Socratea.exorrhiza	0	0	0	1	0	0	0	1
Solanaceae.Msp3	0	0	0	1	0	0	0	0
Sorocea.pubivena	0	0	0	0	0	0	1	0
Souroubea.vallicola	0	0	0	1	0	1	0	0
Spondias.mombin	0	1	1	1	1	1	1	1
Spondias.purpurea	0	1	1	0	0	0	0	1
