Center Longitude dec,Map Projection,Comments,NE Corner Long dec,Begin Date,Agency,Entity ID,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Sensor,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,End Date,Platform,Display ID
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-07-27 00:00:00-05,USGS EROS,EVUSS20210727202108026,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-08-02 00:00:00-05,SUOMI NPP,EVUSS20210727202108026,EVUSS20210727202108026
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-07-27 00:00:00-05,USGS EROS,EVUSS20210727202108096,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-08-09 00:00:00-05,SUOMI NPP,EVUSS20210727202108096,EVUSS20210727202108096
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-03 00:00:00-05,USGS EROS,EVUSS20210803202108096,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-08-09 00:00:00-05,SUOMI NPP,EVUSS20210803202108096,EVUSS20210803202108096
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-10 00:00:00-05,USGS EROS,EVUSS20210810202108166,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-08-16 00:00:00-05,SUOMI NPP,EVUSS20210810202108166,EVUSS20210810202108166
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-10 00:00:00-05,USGS EROS,EVUSS20210810202108236,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-08-23 00:00:00-05,SUOMI NPP,EVUSS20210810202108236,EVUSS20210810202108236
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-08-17 00:00:00-05,USGS EROS,EVUSS20210817202108236,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-08-23 00:00:00-05,SUOMI NPP,EVUSS20210817202108236,EVUSS20210817202108236
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-24 00:00:00-05,USGS EROS,EVUSS20210824202108306,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-08-30 00:00:00-05,SUOMI NPP,EVUSS20210824202108306,EVUSS20210824202108306
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-24 00:00:00-05,USGS EROS,EVUSS20210824202109066,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-09-06 00:00:00-05,SUOMI NPP,EVUSS20210824202109066,EVUSS20210824202109066
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-08-31 00:00:00-05,USGS EROS,EVUSS20210831202109066,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-09-06 00:00:00-05,SUOMI NPP,EVUSS20210831202109066,EVUSS20210831202109066
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-09-07 00:00:00-05,USGS EROS,EVUSS20210907202109136,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-09-13 00:00:00-05,SUOMI NPP,EVUSS20210907202109136,EVUSS20210907202109136
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-09-07 00:00:00-05,USGS EROS,EVUSS20210907202109206,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-09-20 00:00:00-05,SUOMI NPP,EVUSS20210907202109206,EVUSS20210907202109206
