deployment_id,filename,is_blank,identified_by,class,order,family,genus,species,common_name,date,time,number_of_objects,behavior,markings,year,month,day
North Beach Fort,fort_30jul22_02296.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,2022-06-28,05:57:13,1,NA,NA,2022,Jun,28
North Beach Fort,fort_30jul22_02413.JPG,0,Computer vision,Mammalia,Lagomorpha,Leporidae,Lepus,NA,Lepus Species,2022-06-29,04:46:56,1,NA,NA,2022,Jun,29
North Beach Fort,fort_30jul22_02523.JPG,0,Computer vision,Aves,Pelecaniformes,Ardeidae,Ardea,NA,Ardea Species,2022-07-01,12:07:02,1,NA,NA,2022,Jul,1
North Beach Fort,fort_30jul22_02524.JPG,0,Computer vision,Aves,Pelecaniformes,Ardeidae,Ardea,NA,Ardea Species,2022-07-01,12:07:02,1,NA,NA,2022,Jul,1
North Beach Fort,fort_30jul22_03546.JPG,0,Computer vision,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden Eagle,2022-07-06,17:09:43,1,NA,NA,2022,Jul,6
North Beach Fort,fort_30jul22_03626.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-07-06,17:25:02,1,NA,NA,2022,Jul,6
North Beach Fort,fort_30jul22_03764.JPG,0,Computer vision,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden Eagle,2022-07-06,17:54:26,1,NA,NA,2022,Jul,6
North Beach Fort,fort_30jul22_03773.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-07-06,17:54:35,1,NA,NA,2022,Jul,6
North Beach Fort,fort_30jul22_03896.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-07-06,18:47:24,1,NA,NA,2022,Jul,6
North Beach Fort,fort_30jul22_03893.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-07-06,18:47:23,1,NA,NA,2022,Jul,6
